State,Policy
Georgia,"Georgia's EV charging infrastructure is expanding, supported by its large NEVI allocation (approx. $135 million FY22-26) and significant private investment, including major EV manufacturing plants locating in the state. GDOT oversees the NEVI plan, concentrating on DC fast charging along Interstate corridors. Georgia Power is a dominant player, investing heavily in its own public charging network alongside other private networks. Their 2025 Integrated Resource Plan (IRP) anticipates growing energy needs, partly driven by electrification, proposing grid enhancements and diverse generation sources.

Georgia previously had a popular EV tax credit that spurred early adoption but was later eliminated. Current incentives primarily come from utilities like Georgia Power, offering residential charger rebates and time-of-use (TOU) rates designed to manage charging load. State policy focuses on supporting the EV industry and utilizing federal funds, but lacks recent statewide vehicle purchase incentives or ZEV mandates.

Future plans involve deploying NEVI funds (pending federal clarity) to complete the highway network and relying on utility/private investment for density, especially around Atlanta. Challenges include ensuring equitable deployment into rural areas, managing significant grid upgrades needed for both charging and manufacturing, potentially re-introducing consumer incentives to broaden adoption, and addressing the impact of the federal NEVI pause."
Hawaii,"Hawaii's EV charging strategy is driven by its 100% clean energy goal (by 2045), island geography, and high fuel/electricity costs. Infrastructure focuses on intra-island density and inter-island connectivity where possible, prioritizing integration with abundant solar resources and grid management. The state uses its NEVI allocation (approx. $18 million FY22-26), state programs (Hawaii State Energy Office), and Hawaiian Electric initiatives. Recent legislation (effective July 1, 2025) requires new state buildings with parking to make 25% of stalls EV-charger ready and appropriates funds to assess/retrofit existing high-priority state facilities for workplace charging.

Hawaii offers rebates for EV charger purchases/installations via state and utility programs. While vehicle purchase incentives have varied, the high cost of gasoline makes EVs inherently attractive. Policy strongly supports renewable energy and clean transport. Hawaiian Electric's proposed ""Shift and Save"" time-of-use rates (piloted 2024) aim to incentivize charging during peak solar production, highlighting the need for daytime/workplace charging access addressed by the new legislation.

Future plans emphasize expanding charging across all islands, deep integration with grid modernization (V2G pilots), promoting renewable-powered charging, and implementing the new state facility charging requirements. Challenges include managing isolated island grids, high infrastructure costs, ensuring inter-island equity, building resilience against natural disasters, and successfully implementing TOU rates to manage load."
Idaho,"Idaho's EV charging infrastructure development has been significantly impacted by the February 2025 federal NEVI program suspension. The state was relying on its NEVI allocation (approx. $30 million FY22-26) to build essential DC fast charging connections along major corridors (I-84, I-15, I-90, US-95). The Idaho Transportation Department (ITD) had designed its program and was reportedly taking bids for station construction when the federal funds were frozen, stalling these efforts. Utility programs (e.g., Idaho Power) and limited private investment provide some supplementary support.

State-level policies actively promoting EV adoption are limited; in fact, Idaho increased EV registration fees and recently passed legislation preventing local governments from requiring EV charging/parking spaces. Incentives primarily come from utilities offering TOU rates or pilot programs. The stall in federal funding exacerbates the challenge of building infrastructure in a state with minimal state-level support and potential policy headwinds.

Future plans for a statewide charging network are now highly uncertain and depend entirely on the resolution of the NEVI freeze and potential alternative funding. Key challenges include the state's vast rural areas and mountainous terrain, the lack of state incentives or mandates, ensuring charger viability in sparsely populated regions, potential grid limitations, and overcoming policy barriers to encourage adoption and infrastructure deployment, particularly in rural areas who stood to benefit from lower fueling costs."
Illinois,"Illinois is actively promoting EV adoption and infrastructure through state legislation, particularly the Climate and Equitable Jobs Act (CEJA), and its substantial NEVI allocation (approx. $149 million FY22-26). CEJA provides funding for EV rebates and charging programs, emphasizing equity. IDOT and IEPA manage NEVI and state funds, targeting highway corridors and charging deserts, especially in underserved communities. Major utilities like ComEd and Ameren Illinois have approved plans for beneficial electrification, including make-ready infrastructure support and charging rebates.

Illinois offers a state rebate ($4,000 for new/used EVs), though FY2025 funds were quickly oversubscribed for non-low-income applicants, highlighting high demand. CEJA also funds various charging programs. Utilities offer charger rebates and special rates. Legislation encourages EV readiness and aims for 1 million EVs by 2030. The state also secured federal funds to repair/replace older, unreliable charging stations.

Future plans involve deploying NEVI (pending federal clarity) and state funds, focusing on network gaps, MUDs, medium/heavy-duty charging, and ensuring CEJA's equity goals are met. Challenges include managing the high demand for rebates within budget constraints, ensuring equitable benefits reach targeted communities effectively, coordinating large-scale utility programs with private development, and upgrading the grid to handle increased load."
Indiana,"Indiana's plan to build out EV charging infrastructure using its $100 million NEVI allocation (FY22-26) under the ""Charging the Crossroads"" initiative was halted by the February 2025 federal program suspension. INDOT was reportedly in the final stages of executing contracts for the first 39 charging sites along the state's designated AFCs (Interstates and key US/State highways) when the freeze occurred. The program aimed for stations every 50 miles, with NEVI covering up to 80% of installation and initial operating costs through private partners.

Indiana lacks strong statewide EV purchase incentives or mandates, relying heavily on the NEVI program and utility initiatives (e.g., Duke Energy, AES Indiana often offer pilot programs or off-peak rates). The federal suspension creates significant uncertainty for the state's planned highway charging network, as state-level funding or policy drivers are less robust compared to leading states. The future direction depends on new federal guidance, which FHWA indicated would align with new administration priorities potentially including different cost-benefit analyses and policy goals.

Future plans are currently on hold pending revised federal NEVI guidance and potential state responses. Key challenges include the critical uncertainty of federal funding, stimulating EV adoption without strong state incentives, ensuring connectivity across the state's extensive highway network (""Crossroads of America""), and potential grid integration issues as adoption grows."
Iowa,"Iowa is developing its EV charging network primarily using its NEVI allocation (approx. $51 million FY22-26) to build DC fast chargers along its Interstate corridors (I-80, I-35, I-29). The Iowa Department of Transportation manages this deployment, relying on private partners for installation and operation. Utility programs are key supplementary drivers, offering incentives and promoting off-peak charging. MidAmerican Energy and Alliant Energy are major players with EV programs for customers.

Iowa does not have a statewide EV purchase rebate, but relies on federal credits and utility incentives. According to Edmunds (April 2025), Iowa residents may be eligible for $600 in charging rebates (likely through utilities) on top of federal and manufacturer incentives. State policy focuses on facilitating the federally funded buildout rather than implementing strong state mandates for adoption or infrastructure.

Future plans involve completing the NEVI corridor network, contingent on the resolution of the federal program suspension. Challenges include expanding charging access into the state's significant rural areas beyond the Interstates, boosting EV adoption rates, ensuring long-term operational viability of chargers in a state with relatively lower EV density currently, and managing grid impacts, particularly in rural cooperative territories."
Kansas,"Kansas is focusing on building its EV charging network along major highway corridors using its NEVI allocation (approx. $40 million FY22-26). The Kansas Department of Transportation (KDOT) manages the plan, partnering with private entities. Recent discussions (April 2025 in Riley County) highlight local government focus on planning for EV growth, assessing current infrastructure (14 stations/20 plugs regionally mentioned), and identifying needs (more Level 2 near hotels/venues, Level 3 on major routes like Junction City). Utility Evergy is actively involved, offering rebates and planning for grid capacity to meet future demand.

Kansas does not offer statewide EV purchase incentives, relying on federal credits and utility programs. Evergy, for example, provides rebates for charger installations and promotes time-of-use rates. State policy has primarily centered on enabling the NEVI program. The federal suspension of NEVI funds in February 2025 creates uncertainty for the planned corridor buildout.

Future plans depend heavily on the resumption and potential restructuring of the NEVI program. Local governments and utilities appear proactive in planning for growth. Challenges include the uncertainty of federal funding, expanding infrastructure beyond primary highways into rural areas, stimulating adoption without state incentives, and coordinating planning between state, local, and utility stakeholders."
Kentucky,"Kentucky is actively deploying EV charging stations using its NEVI allocation (approx. $69 million FY22-26), managed by the Kentucky Transportation Cabinet (KYTC). Despite the February 2025 federal program suspension, Kentucky opened its second NEVI-funded fast charging station in Berea (Feb 2025), indicating progress on previously approved projects. The state has awarded contracts for 48 fast charging stations ($32.9M federal funds) along Interstates and parkways, leveraging private investment ($17M match required). These private partners own, operate, and maintain the stations for at least five years.

Kentucky lacks a statewide EV purchase incentive but has seen significant EV-related economic development, attracting major battery manufacturing investments. Incentives are primarily utility-based. State policy supports the NEVI buildout and leverages the state's position in the growing EV supply chain. The focus is on creating a reliable network along key travel corridors.

Future plans involve completing the awarded NEVI projects and potentially further rounds if federal funding resumes. The state aims to build confidence in EV travel across the commonwealth. Challenges include navigating the uncertainty of future NEVI funding rounds, extending charging access to more rural areas off the main parkways, ensuring long-term station reliability and maintenance by private partners, and managing grid upgrades to support both charging and large industrial loads from battery plants."
Louisiana,"Louisiana's EV charging infrastructure development is guided by its NEVI allocation (approx. $73 million FY22-26), aimed at building out DC fast chargers along its Interstate corridors (I-10, I-12, I-20, I-49). The Louisiana Department of Transportation and Development (DOTD) oversees the state's plan, likely relying on private partnerships for deployment. Utilities like Entergy Louisiana play a role through programs potentially offering charger rebates or special rates.

Louisiana does not currently offer statewide EV purchase rebates or tax credits, focusing incentives at the utility level. State policy supports leveraging federal funds like NEVI to establish the foundational highway charging network. The impact of the February 2025 federal NEVI program suspension on Louisiana's deployment timeline and plans is likely significant, given the reliance on these funds.

Future plans are dependent on the resolution of the NEVI program status and updated federal guidance. Key challenges include the uncertainty surrounding federal funding, expanding charging infrastructure beyond highway corridors into underserved urban neighborhoods and rural areas, increasing EV adoption rates, ensuring infrastructure resilience in a state prone to hurricanes, and coordinating utility investments with state plans."
Maine,"Maine is actively pursuing clean energy goals, with transportation electrification being a key component, driven by state policy and incentives. The state's 2025 Energy Plan emphasizes reducing reliance on fossil fuels (especially heating oil) through efficient technologies like heat pumps and EVs. Infrastructure growth is supported by the Efficiency Maine Trust, utility programs (CMP, Versant Power), private investment, and its NEVI allocation (approx. $19 million FY22-26) targeting AFCs. Maine has rapidly expanded its network, surpassing 1,000 public ports.

Maine offers rebates for purchasing or leasing new and used EVs through Efficiency Maine, with higher amounts for income-eligible residents and public/tribal entities. Efficiency Maine also provides grants for installing Level 2 chargers at homes, workplaces, and public locations, often prioritizing underserved areas. State policy supports these initiatives, aiming to increase EV adoption and build out a comprehensive charging network.

Future plans involve continued deployment using state program funds and NEVI (pending federal clarity), focusing on reliability, accessibility (especially rural), and integration with the grid to support renewable energy goals. Challenges include meeting growing demand spurred by rebates, ensuring adequate coverage in rural northern Maine, upgrading the grid for reliability and increased load, managing seasonal tourism impacts on charging demand, and sustaining state funding for popular incentive programs."
Maryland,"Maryland has strong EV adoption goals, supported by state incentives, participation in regional initiatives, and its NEVI allocation (approx. $63 million FY22-26). The Maryland Department of Transportation (MDOT) and Maryland Energy Administration (MEA) manage programs targeting highway corridors (NEVI) and community charging. Utilities like BGE, Pepco, Delmarva Power, and Potomac Edison run significant EV charging programs (""""EV Driven"""") offering rebates for residential, multi-family, and workplace charging, plus public charging infrastructure investments.

Maryland offers an Electric Vehicle Supply Equipment (EVSE) Rebate Program for charger installations. Historically, the state had an EV excise tax credit for vehicle purchases; legislation introduced in 2025 (HB216) proposed replacing this with a point-of-sale rebate program, aiming to make the incentive more immediate and accessible. State policies promote EV readiness and support achieving climate goals, including significant transportation electrification.

Future plans involve continued deployment through state programs and NEVI (pending federal clarity), focusing on expanding access, particularly in underserved areas and MUDs, and potentially transitioning the vehicle incentive to a rebate. Challenges include coordinating state, utility, and private investments, ensuring equitable distribution, managing grid impacts, securing sustainable funding for incentives, and potentially adapting incentive structures based on legislative changes."
Massachusetts,"Massachusetts is aggressively pursuing transportation electrification, driven by state climate mandates (e.g., net-zero by 2050), ZEV regulations, and significant state/utility investment. The state utilizes its NEVI allocation (approx. $63 million FY22-26) for highway corridors, but state programs (e.g., MassEVIP via MOR-EV) and utility initiatives (National Grid, Eversource) are major drivers for broader infrastructure deployment, including public, workplace, and fleet charging. An intergovernmental council is developing a deployment plan aiming for an equitable, reliable network supporting the 2035 ZEV sales target.

Massachusetts offers rebates for EV purchases/leases (MOR-EV program) and separate rebates for chargers via MassEVIP and utility programs. State policy includes building codes requiring EV-readiness in new construction, stringent ZEV sales mandates (starting MY2025 for trucks), and ambitious goals for electrifying the state fleet (e.g., 100% ZEV light-duty acquisitions FY23, 500 state property chargers by 2030). Public chargers must offer non-subscription payment options.

Future plans focus on rapidly scaling infrastructure to meet ZEV targets, ensuring equity, managing grid integration, and electrifying state/public fleets. Challenges include the high cost of deployment (especially retrofits), ensuring sufficient charging for residents in older MUDs, coordinating diverse programs, potential grid capacity constraints, and exploring mechanisms (like ZEV surcharges, under study) to address future gas tax revenue declines."
Michigan,"Michigan, the heart of the US auto industry, is navigating the EV transition with support from state initiatives, utility programs, and its NEVI allocation (approx. $110 million FY22-26). The Michigan Department of Transportation (MDOT) and the Office of Future Mobility and Electrification guide the state's strategy, focusing NEVI funds on AFCs. Major utilities like DTE Energy and Consumers Energy have programs offering rebates for residential, commercial, and fleet charging installations, alongside investments in public charging infrastructure and managing grid impacts.

Michigan does not currently offer a statewide EV purchase rebate, relying on federal credits and utility incentives (e.g., charger rebates, special EV rates). State policy aims to support the auto industry's transition, attract battery manufacturing investment (e.g., the ""Make It In Michigan"" plan encompasses EV ecosystem growth), and build out a foundational charging network via NEVI and utility partnerships.

Future plans involve deploying NEVI funds (pending federal clarity), continued utility program rollouts, and supporting industry growth in EV manufacturing and battery technology. Challenges include stimulating wider EV adoption without state purchase incentives, ensuring adequate charging infrastructure keeps pace with potential manufacturing growth, addressing rural charging gaps, managing grid upgrades efficiently, and supporting workforce development for the evolving automotive sector."
Minnesota,"Minnesota is advancing EV adoption and infrastructure through state goals, utility engagement, and its NEVI allocation (approx. $68 million FY22-26). The Minnesota Department of Transportation (MnDOT) manages the NEVI plan for highway corridors. Utilities like Xcel Energy, Minnesota Power, and Great River Energy play a very active role, often driven by state regulatory directives, offering residential/commercial charger rebates, EV-specific rates, public charging programs, and managing grid integration. Private networks also contribute to the growing infrastructure.

Minnesota offers a state rebate for new and used EVs, making adoption more accessible. Utility programs provide significant additional incentives for charging infrastructure. State policy supports clean energy goals and transportation electrification, including directives for utility investment in beneficial electrification. Minnesota adopted California's clean car standards, which include ZEV requirements, further driving the market.

Future plans focus on deploying NEVI funds (pending federal clarity), continued expansion through utility programs, meeting clean car standard requirements, and increasing charging accessibility, particularly in greater Minnesota (rural areas). Challenges include ensuring equitable deployment across the state, managing grid impacts especially in areas served by smaller cooperatives, coordinating the numerous utility programs for consistency, and securing long-term funding for state rebates."
Mississippi,"Mississippi's EV charging infrastructure is in the early stages of development, primarily supported by its NEVI allocation (approx. $51 million FY22-26) aimed at building out DC fast chargers along designated Interstate corridors. The Mississippi Department of Transportation (MDOT) oversees this plan, likely relying on private partnerships. Utility programs, such as those from Mississippi Power and Entergy Mississippi, offer some support, like charger rebates ($1,250 from MS Power reported previously) or potentially special rates.

Mississippi does not offer statewide EV purchase incentives. The state's focus is on utilizing federal funds to establish a basic highway charging network. Growth in charging infrastructure beyond the NEVI corridors depends significantly on utility initiatives and potential private investment, which may be limited initially due to lower EV adoption rates compared to other states. The impact of the February 2025 NEVI program suspension adds uncertainty to the primary funding source.

Future plans are heavily tied to the fate of the NEVI program. Key challenges include the uncertainty of federal funding, stimulating EV adoption without state incentives, extending charging access into rural areas off the main highways, ensuring economic viability for chargers in a low-adoption market, and potential grid constraints in some areas."
Missouri,"Missouri is developing its EV charging infrastructure using its NEVI allocation (approx. $99 million FY22-26) to establish DC fast charging stations along its designated AFCs, primarily Interstates. The Missouri Department of Transportation (MoDOT) manages this deployment, partnering with private companies selected through a competitive process. Utilities like Evergy and Ameren Missouri are also key players, offering rebates for charger installations, special EV rates, and investing in grid readiness to support electrification.

Missouri does not currently offer statewide EV purchase incentives, relying on federal credits and utility programs. State policy primarily focuses on administering the NEVI program and supporting utility efforts in beneficial electrification. The February 2025 suspension of the NEVI program creates uncertainty for Missouri's planned highway network buildout.

Future plans depend significantly on the resumption and structure of the NEVI program. Continued utility investment will be crucial for expanding access beyond highways. Challenges include the lack of state vehicle incentives potentially slowing adoption, ensuring equitable deployment across urban centers and extensive rural areas, verifying long-term reliability of privately operated NEVI stations, and managing grid upgrades."
Montana,"Montana's approach to EV charging infrastructure focuses on bridging vast distances using its NEVI allocation (approx. $43 million FY22-26). The Montana Department of Transportation (MDT) plan targets designated AFCs (I-90, I-15, I-94, US-2) to establish a basic network of DC fast chargers. Given the state's large size and rural nature, NEVI funding is critical, as private investment is likely limited outside population centers like Billings, Missoula, and Bozeman. Utility programs may offer limited support.

Montana does not offer statewide EV purchase incentives. State policy focuses on administering the NEVI program. The sparse population, long driving distances, and extreme weather present unique challenges for both deploying and operating charging stations reliably and economically. The February 2025 suspension of the NEVI program poses a significant threat to the state's ability to build this essential long-distance travel network.

Future plans for a connected charging network are highly dependent on the NEVI program's continuation. Key challenges include the immense geographic barriers, low population density impacting charger utilization and economics, harsh winter conditions affecting performance and maintenance, limited grid capacity in remote areas, lack of state incentives, and the critical uncertainty of federal funding."
Nebraska,"Nebraska is utilizing its NEVI allocation (approx. $30 million FY22-26) to build a foundational DC fast charging network along its primary AFC, Interstate 80, which is a critical national freight and travel corridor. The Nebraska Department of Transportation (NDOT) manages this plan, relying on private partners. Utility programs, such as those offered by Omaha Public Power District (OPPD) and Lincoln Electric System (LES), provide supplementary support through residential charger rebates and EV rates, primarily focused on their urban service territories.

Nebraska does not have statewide EV purchase incentives. State policy centers on implementing the federally funded NEVI program. Building infrastructure beyond the I-80 corridor to serve other state highways and rural communities presents a significant challenge. The February 2025 suspension of the NEVI program creates uncertainty for the completion of even the primary I-80 corridor plan.

Future plans depend heavily on the status of the NEVI program. Challenges include extending charging access beyond the I-80 corridor into vast rural areas, stimulating EV adoption without state incentives, ensuring charger reliability and economic viability in a state with relatively low current EV penetration, and managing grid integration, particularly in areas served by public power districts and cooperatives."
